ARK	title	subject	description	source	language	relation	coverage	creator	contributor	publisher	rights	date	type	format	identifier
ark:/12148/cb343132703		Synopsis de pharmacologie et thérapeutique				fre ; français					Ed. Marketing (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1989	texte imprimé ; printed text ; text	26 cm	http://catalogue.bnf.fr/ark:/12148/cb343132703
ark:/12148/cb37583330b		Codes secrets pour PlayStation / [trad. de l'américain]		Collection : Stratégies		fre ; français					Campuspress France (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1998	texte imprimé ; printed text ; text	Ill., couv. ill. en coul. ; 19 cm	http://catalogue.bnf.fr/ark:/12148/cb37583330b
ark:/12148/cb37127010x		Essai d'un répertoire biographique / Mansour Abrous				fre ; français			Abrous, Mansour (1956-2019). Auteur du texte		M. Abrous (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1999	texte imprimé ; printed text ; text	 ; 21 cm	http://catalogue.bnf.fr/ark:/12148/cb37127010x
ark:/12148/cb36945880g		Gestion administrative		Collection : Gérer l'entreprise en Afrique et dans l'Océan Indien		fre ; français					Foucher (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1998	texte imprimé ; printed text ; text	3 vol. ; 19 cm	http://catalogue.bnf.fr/ark:/12148/cb36945880g
ark:/12148/cb37127111j		Après l'histoire : essai / Philippe Muray				fre ; français			Muray, Philippe (1945-2006). Auteur du texte		les Belles Lettres (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1999	texte imprimé ; printed text ; text	22 cm	http://catalogue.bnf.fr/ark:/12148/cb37127111j
ark:/12148/cb343478810		Jurisprudence des élections / Bernadette Bhasin				fre ; français			Bhasin, Bernadette. Auteur du texte		Éd. Hôtel de ville (Les Abrets)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1997	texte imprimé ; printed text ; text	24 cm	http://catalogue.bnf.fr/ark:/12148/cb343478810
ark:/12148/cb34345831z		Racket et mise à mort des communes / Denis Parigaux				fre ; français			Parigaux, Denis. Auteur du texte		SELIO (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1994	texte imprimé ; printed text ; text	couv. ill. ; 24 cm	http://catalogue.bnf.fr/ark:/12148/cb34345831z
ark:/12148/cb444403816		Histoires de pompiers		Collection : Plein feux collection		fre ; français					Idées+ passion BD (Bezouce)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2014	texte imprimé ; printed text ; text	Ill. en coul. ; 33 cm	http://catalogue.bnf.fr/ark:/12148/cb444403816
ark:/12148/cb343473223		Les Patriarches / Claire Patier				fre ; français			Patier, Claire. Auteur du texte		Éd. du Livre ouvert (Mesnil-Saint-Loup)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1996	texte imprimé ; printed text ; text	23 cm	http://catalogue.bnf.fr/ark:/12148/cb343473223
ark:/12148/cb34333012s		Etymologie der hethitischen Sprache / von Heinz Kronasser				ger ; allemand			Kronasser, Heinz. Auteur du texte		O. Harrassowitz (Wiesbaden)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1962-1987	texte imprimé ; printed text ; text	25 cm	http://catalogue.bnf.fr/ark:/12148/cb34333012s
ark:/12148/cb37012452c		Anoë / [Josselin Grange]				fre ; français			Grange, Josselin. Auteur du texte		J. Grange (Marsanne)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1999	texte imprimé ; printed text ; text	Ill. en noir et en coul., couv. ill. en coul. ; 30 cm	http://catalogue.bnf.fr/ark:/12148/cb37012452c
ark:/12148/cb34341803r		Été 1944 / Éric Rondel				fre ; français			Rondel, Éric (1961-....). Auteur du texte		Club 35 (Fréhel)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1994	texte imprimé ; printed text ; text	22 cm	http://catalogue.bnf.fr/ark:/12148/cb34341803r
ark:/12148/cb34347853r		Par le fouet et par les verges / Tap-Tap				fre ; français			Tap-Tap (1846-1933). Auteur du texte		[le Grand livre du mois] (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1996	texte imprimé ; printed text ; text	22 cm	http://catalogue.bnf.fr/ark:/12148/cb34347853r
ark:/12148/cb37720813h		Développement participatif urbain au Cameroun		Collection : Collection Études et travaux		fre ; français					les Éd. du GRET (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1998	texte imprimé ; printed text ; text		http://catalogue.bnf.fr/ark:/12148/cb37720813h
ark:/12148/cb37721073d		Les grands mythes de l'Antiquité				fre ; français					Éd. du Seuil (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2001	texte imprimé ; printed text ; text	3 vol. : carte, couv. ill. en coul. ; 18 cm	http://catalogue.bnf.fr/ark:/12148/cb37721073d ; ISBN 2020513668
