ARK	title	subject	description	source	language	relation	coverage	creator	contributor	publisher	rights	date	type	format	identifier
ark:/12148/cb371363085		Le papillon digital (2e éd.) Raphaël Richard				fre ; français			Richard, Raphaël (1970-....). Auteur du texte		ENI éd. (Nantes)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2001	texte imprimé ; printed text ; text	22 cm	http://catalogue.bnf.fr/ark:/12148/cb371363085
ark:/12148/cb343096290		Antennes astuces et radioamateurs				fre ; français					Ed. SMR (Auxerre)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1987	texte imprimé ; printed text ; text	Ill., couv. ill. ; 22 cm	http://catalogue.bnf.fr/ark:/12148/cb343096290
ark:/12148/cb361327294		Big twin / scénario et dessins, Achdé...				fre ; français			Achdé (1961-....). Auteur du texte		Soleil (Toulon)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1997	texte imprimé ; printed text ; text	30 cm	http://catalogue.bnf.fr/ark:/12148/cb361327294
ark:/12148/cb45058549v		Droit administratif, étude méthodologique / Yangarick Gitton				fre ; français			Gitton, Yangarick (1976-....). Auteur du texte		les Éditions du Net (Suresnes)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2015	texte imprimé ; printed text ; text	23 cm	http://catalogue.bnf.fr/ark:/12148/cb45058549v
ark:/12148/cb39294450f		Stephen King, "La tour sombre", concordance				fre ; français			Furth, Robin. Auteur du texte		J'ai lu (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2004	texte imprimé ; printed text ; text	23 cm	http://catalogue.bnf.fr/ark:/12148/cb39294450f
ark:/12148/cb343123406		Le Pays de Guémené Penfao				fre ; français					Syndicat d'initiative (Guémené Penfao)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1986	texte imprimé ; printed text ; text	Ill., couv. ill. en coul. ; 30 cm	http://catalogue.bnf.fr/ark:/12148/cb343123406
ark:/12148/cb36133540b		Sables brûlants ou Aventures et passion au Sahara / Maria Rosa		Collection : Colporteur		fre ; français			Rosa, Maria. Auteur du texte		C. Lacour (Nîmes)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1997	texte imprimé ; printed text ; text	21 cm	http://catalogue.bnf.fr/ark:/12148/cb36133540b
ark:/12148/cb37583160q		Le génie associatif : 10 portraits / Patricia Thibaudeau, Pascale Pichon, Laurence Nicolas... [et al.]				fre ; français					Textuel (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2001	texte imprimé ; printed text ; text	10 vol. : couv. ill. ; 21 cm	http://catalogue.bnf.fr/ark:/12148/cb37583160q ; ISBN 2845970331
ark:/12148/cb37583530w		Petit traité de science politique / Jean Leca				fre ; français			Leca, Jean (1935-....). Auteur du texte		Presses de Sciences Po (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2001	texte imprimé ; printed text ; text	22 cm	http://catalogue.bnf.fr/ark:/12148/cb37583530w
ark:/12148/cb37126750v		Yves Brayer : catalogue raisonné de l'oeuvre peint / Lydia Harambourg, Hermione Brayer, Olivier Brayer... [et al.]				fre ; français					Bibliothèque des Arts (Lausanne)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1999	texte imprimé ; printed text ; text	 ; 33 cm	http://catalogue.bnf.fr/ark:/12148/cb37126750v
ark:/12148/cb40944200c		Les histoires de Max / Bernard Olifirenko				fre ; français			Olifirenko, Bernard (1954-....). Auteur du texte		Argema éd. (Toulouse)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2006	texte imprimé ; printed text ; text	21 cm	http://catalogue.bnf.fr/ark:/12148/cb40944200c
ark:/12148/cb375833112		Toulouse boutiques		Collection : [Collection Beaux livres]		fre ; français					Terrefort (Toulouse)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1996	texte imprimé ; printed text ; text	Ill. en coul., couv. ill. en coul. ; 23 x 24 cm	http://catalogue.bnf.fr/ark:/12148/cb375833112
ark:/12148/cb34334231v		Quelques textes essentiels / Mouvement guyanais de décolonisation				fre ; français			Mouvement guyanais de décolonisation. Auteur du texte		R. Debannon (Guyane)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1977	texte imprimé ; printed text ; text	Formats divers	http://catalogue.bnf.fr/ark:/12148/cb34334231v
ark:/12148/cb34309661g		Monsieur Édouard / Didgé				fre ; français			Didgé (1953-....). Auteur du texte		Éd. du Lombard (Bruxelles)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog		texte imprimé ; printed text ; text	30 cm	http://catalogue.bnf.fr/ark:/12148/cb34309661g
ark:/12148/cb343470615		Entendre la dépression / sous la coordination de Yves Pélicier				fre ; français				Pélicier, Yves (1926-1996). Directeur de publication	Phase 5 (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1995	texte imprimé ; printed text ; text	22 cm	http://catalogue.bnf.fr/ark:/12148/cb343470615
ark:/12148/cb422124911		Les rois du crime / Alexandre Bonny				fre ; français			Bonny, Alexandre. Auteur du texte		First éd. (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2009	texte imprimé ; printed text ; text	Couv. ill. ; 23 cm	http://catalogue.bnf.fr/ark:/12148/cb422124911
ark:/12148/cb369469324		Advanced dungeons & dragons, 2nd edition : forgotten realms				fre ; français					Jeux Descartes (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1998	texte imprimé ; printed text ; text	28 cm	http://catalogue.bnf.fr/ark:/12148/cb369469324
ark:/12148/cb343098820		L' Itinéraire sanglant / Almamy Fodé Sylla,...				fre ; français			Sylla, Almamy Fodé. Auteur du texte		ERTI (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1985	texte imprimé ; printed text ; text	Ill., couv. ill. ; 21 cm	http://catalogue.bnf.fr/ark:/12148/cb343098820
ark:/12148/cb343377329		Le juge d'Égypte / Christian Jacq				fre ; français			Jacq, Christian (1947-....). Auteur du texte		Plon (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1993	texte imprimé ; printed text ; text	Couv. ill. en coul. ; 21 cm	http://catalogue.bnf.fr/ark:/12148/cb343377329
ark:/12148/cb37582692g		DPECF, entraînement et cas corrigés ([Éd. 2001]) 				fre ; français					Foucher (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2001	texte imprimé ; printed text ; text	Ill. ; 25 cm	http://catalogue.bnf.fr/ark:/12148/cb37582692g
ark:/12148/cb370123821		Carnets d'une apocalypse / Satprem				fre ; français			Satprem (1923-2007). Auteur du texte		Institut de recherches évolutives (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1999	texte imprimé ; printed text ; text	vol. ; 30 cm	http://catalogue.bnf.fr/ark:/12148/cb370123821
ark:/12148/cb370119128		Enseignement maritime / par Mad. Le Tellier				fre ; français			Le Tellier, Madeleine. Auteur du texte		Mad. Le Tellier (Lamballe)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1994	texte imprimé ; printed text ; text	Ill., couv. ill. ; 30 cm	http://catalogue.bnf.fr/ark:/12148/cb370119128
ark:/12148/cb41162222c		Nouvelles de Saint-Fury / Franck Perriard				fre ; français			Perriard, Franck (1968-....). Auteur du texte		Édilivre-Éd. Aparis (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2007	texte imprimé ; printed text ; text	20 cm	http://catalogue.bnf.fr/ark:/12148/cb41162222c
ark:/12148/cb421837723		Vagabondages historiques / Philippe Shrek				fre ; français			Shrek, Philippe (1958-....). Auteur du texte		Yvelinédition (Montigny-le-Bretonneux)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2010	texte imprimé ; printed text ; text	23 cm	http://catalogue.bnf.fr/ark:/12148/cb421837723
ark:/12148/cb409214134		Les messieurs de Grandval : roman / Christian Signol				fre ; français			Signol, Christian (1947-....). Auteur du texte		A. Michel (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2006	texte imprimé ; printed text ; text	23 cm	http://catalogue.bnf.fr/ark:/12148/cb409214134
ark:/12148/cb40247163h		Les aventures des amis de Kilmerville / Thérèse Sargent				fre ; français			Sargent, Thérèse (1965-....). Auteur du texte		T. Sargent (Catenoy)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2006	texte imprimé ; printed text ; text	30 cm	http://catalogue.bnf.fr/ark:/12148/cb40247163h
ark:/12148/cb343081537		Notre Gabon / J.-E. Mbot				fre ; français			Mbot, Jean Émile. Auteur du texte		Éd. universelles (Toulouse)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1984-1986	texte imprimé ; printed text ; text	50 cm	http://catalogue.bnf.fr/ark:/12148/cb343081537
ark:/12148/cb343419031		Le juge d'Égypte / Christian Jacq				fre ; français			Jacq, Christian (1947-....). Auteur du texte		France loisirs (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1993	texte imprimé ; printed text ; text	21 cm	http://catalogue.bnf.fr/ark:/12148/cb343419031
ark:/12148/cb34336593q		Rohel le conquérant / Pierre Bordage				fre ; français			Bordage, Pierre (1955-....). Auteur du texte		Vaugirard (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1992	texte imprimé ; printed text ; text	18 cm	http://catalogue.bnf.fr/ark:/12148/cb34336593q
ark:/12148/cb37136223s		Une oeuvre de Picasso / textes de Fabien Faure,... Jean Arrouye,... Hervé Castanet,... [et al.]				fre ; français					Muntaner (Marseille)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2000	texte imprimé ; printed text ; text	 : ill., couv. ill. en coul. ; 19 cm	http://catalogue.bnf.fr/ark:/12148/cb37136223s
ark:/12148/cb37136253q		Six essais sur Goethe / Albert Schweitzer .				fre ; français			Schweitzer, Albert (1875-1965). Auteur du texte		ACM éd. (Boofzheim) ; Publications de l'AFAAS (Boofzheim)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1999	texte imprimé ; printed text ; text	18 cm	http://catalogue.bnf.fr/ark:/12148/cb37136253q
ark:/12148/cb37720963b		L'essentiel de la comptabilité générale		Collection : Les carrés		fre ; français					Gualino éd. (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2001	texte imprimé ; printed text ; text	17 cm	http://catalogue.bnf.fr/ark:/12148/cb37720963b
ark:/12148/cb37136514n		Listes d'armées pour "De Bonaparte à Napoléon" / Jean-Christophe Raguet				fre ; français			Raguet, Jean-Christophe. Auteur du texte		Histoire & collections (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2000	texte imprimé ; printed text ; text	Ill. en noir et en coul., couv. ill. en coul. ; 24 cm	http://catalogue.bnf.fr/ark:/12148/cb37136514n
ark:/12148/cb40106384s		Les jeunes écrivent		Collection : Brouillon d'écriture		fre ; français					l'Harmattan (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2005	texte imprimé ; printed text ; text	22 cm	http://catalogue.bnf.fr/ark:/12148/cb40106384s
ark:/12148/cb39293494t		Choro / Emmanuel Tugny				fre ; français			Tugny, Emmanuel (1968-....). Auteur du texte		Éd. le Mot et le reste (Marseille)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2004	texte imprimé ; printed text ; text	18 cm	http://catalogue.bnf.fr/ark:/12148/cb39293494t
ark:/12148/cb37011884v		Guide de randonnée aquatique : pour tous ceux que l'aventure sous-marine attire		Collection : Collection RHA		fre ; français					Éd. R. Anoto (Fontenay-aux-Roses)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1998	texte imprimé ; printed text ; text	19 cm	http://catalogue.bnf.fr/ark:/12148/cb37011884v
ark:/12148/cb370118349		Vivre sa commune / par Cyrille Darras				fre ; français			Darras, Cyrille. Auteur du texte		Publications périodiques de l'impr. P. Dupont (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1998	texte imprimé ; printed text ; text	24 cm	http://catalogue.bnf.fr/ark:/12148/cb370118349
ark:/12148/cb37582464p		Éducation nationale : son combat contre les droits de l'homme / Daniel				fre ; français			Daniel (19..-.... ; enseignant). Auteur du texte		Daniel (Limoges)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1999	texte imprimé ; printed text ; text	24 cm	http://catalogue.bnf.fr/ark:/12148/cb37582464p
ark:/12148/cb36595055d		Prix littéraire Bibliopolis / [publ. par Thouaré-sur-Loire]				fre ; français				Thouaré-sur-Loire (Loire-Atlantique). Éditeur scientifique	Éd. Opéra (Nantes)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1998	texte imprimé ; printed text ; text	21 cm	http://catalogue.bnf.fr/ark:/12148/cb36595055d
ark:/12148/cb37126265h		Jean du Maquis : roman / Pierre Louty				fre ; français			Louty, Pierre (1947-....). Auteur du texte		Éd. de La Veytizou (Neuvic-Entier)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1997	texte imprimé ; printed text ; text	21 cm	http://catalogue.bnf.fr/ark:/12148/cb37126265h
ark:/12148/cb34311595s		Divagations / Alice Tristane				fre ; français			Tristane, Alice. Auteur du texte		la Pensée universelle (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1988	texte imprimé ; printed text ; text	18 cm	http://catalogue.bnf.fr/ark:/12148/cb34311595s
ark:/12148/cb343464464		La compétitivité industrielle ([Nouv. éd.]) 		Collection : Plein pot		fre ; français					Foucher (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1996	texte imprimé ; printed text ; text	21 cm	http://catalogue.bnf.fr/ark:/12148/cb343464464
ark:/12148/cb34295236w		Le Monstre				fre ; français					Lettres modernes (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1975	texte imprimé ; printed text ; text	19 cm	http://catalogue.bnf.fr/ark:/12148/cb34295236w
